X,Y,support,confidence,lift
"Structural Notification:Y, Existing Use:1 family dwelling, Proposed Construction Type:5",Existing Construction Type:5,0.003081951,0.998371336,24.15767137
"Structural Notification:Y, Existing Use:1 family dwelling","Existing Construction Type:5, Proposed Construction Type:5",0.003081951,0.969936709,25.90926825
"Structural Notification:Y, Existing Construction Type:5, Existing Use:1 family dwelling",Proposed Construction Type:5,0.003081951,0.988709677,24.23045279
"Proposed Construction Type:5, Fire Only Permit:Y, Current Status:complete",Permit Type:8,0.003071895,0.85097493,15.33559062
"Neighborhoods - Analysis Boundaries:Mission, Zipcode:94110",Supervisor District:9,0.00306184,0.635036496,90.86961088
"Zipcode:94110, Supervisor District:9",Neighborhoods - Analysis Boundaries:Mission,0.00306184,0.666301969,80.66187566
"Neighborhoods - Analysis Boundaries:Mission, Supervisor District:9",Zipcode:94110,0.00306184,0.688914027,95.75471698
"Neighborhoods - Analysis Boundaries:Mission, Zipcode:94110",Permit Type:8,0.003046757,0.631908238,11.38774563
"Permit Type:8, Zipcode:94110",Neighborhoods - Analysis Boundaries:Mission,0.003046757,0.665934066,80.61733762
"Existing Construction Type:3, Fire Only Permit:Y",Proposed Construction Type:3,0.00304173,0.990180033,79.73555
"Proposed Construction Type:3, Fire Only Permit:Y",Existing Construction Type:3,0.00304173,0.923664122,70.71470127
"Current Status:issued, Proposed Construction Type:3",Permit Type:8,0.003031674,0.786179922,14.16790672
Neighborhoods - Analysis Boundaries:Tenderloin,Zipcode:94102,0.003026647,0.691954023,110.2801724
"Current Status:issued, Supervisor District:6",Permit Type:8,0.003026647,0.626430801,11.28903564
"Proposed Construction Type:2, Current Status:complete",Existing Construction Type:2,0.003006536,0.952229299,130.8000053
"Existing Construction Type:2, Current Status:complete",Proposed Construction Type:2,0.003006536,0.914373089,134.9175129
"Permit Type:8, Zipcode:94103",Supervisor District:6,0.003006536,0.613963039,40.86922639
"Existing Use:apartments, Current Status:complete",Permit Type:8,0.002991453,0.727383863,13.1083311
"Current Status:filed, Permit Type:3",Proposed Construction Type:5,0.002986425,0.613636364,15.03847619
Zipcode:94108,Supervisor District:3,0.002986425,1,69.52114645
"Supervisor District:7, Proposed Construction Type:5",Existing Construction Type:5,0.002986425,0.891891892,21.58117972
"Existing Construction Type:5, Supervisor District:7",Proposed Construction Type:5,0.002986425,0.919504644,22.5344349
"Current Status:filed, Permit Type:3",Existing Construction Type:5,0.00297637,0.611570248,14.79821439
"Current Status:issued, Existing Construction Type:1",Permit Type:8,0.002971342,0.634120172,11.42760733
Zipcode:94117,Proposed Construction Type:5,0.002966315,0.699052133,17.13177294
"Neighborhoods - Analysis Boundaries:South of Market, Permit Type:8",Supervisor District:6,0.002936149,1,66.56626506
"Permit Type:8, Current Status:issued, Existing Construction Type:1",Proposed Construction Type:1,0.002936149,0.988155668,70.72477957
